,ID,LAD22NM,ever_hatched,Bristol_distance,Cardiff_distance,Hereford_distance,Swansea_distance,account_period_haschanged,siccode,age,month1.0,month2.0,month3.0,month4.0,month5.0,month6.0,month7.0,month8.0,month9.0,month10.0,month11.0,month12.0,Compay Number,Name,SERVICES,PROPERTY,MANAGEMENT,GROUP,PROPERTIES,CONSULTING,HOLDINGS,CONSTRUCTION,CARDIFF,CONSULTANCY,DEVELOPMENTS,TRADING,ENGINEERING,INVESTMENTS,CARE,INTERNATIONAL,WALES,BUILDING,ELECTRICAL,DESIGN,TRADE,MEDIA,BUSINESS,GLOBAL,HOMES,HOUSE,ENTERPRISES,MAINTENANCE,TRAINING,TECHNOLOGY,SYSTEMS,DEVELOPMENT,FINANCIAL,CENTRE,HOME,TECH,CAPITAL,TRANSPORT,IT,DIGITAL,HEALTHCARE,CONTRACTORS,SECURITY,CONSULTANTS,CLEANING,ESTATES,HEATING,(CARDIFF),MARKETING,CLUB,(WALES),COURT,ENERGY,ROAD,SERVICE,PLUMBING,RECRUITMENT,HEALTH,LOGISTICS,BEAUTY,FINANCE,ROOFING,SHOP,INVESTMENT,PRODUCTIONS,STORE,RAIL,SUPPLIES,CATERING,COMMUNITY,CARPENTRY,GREEN,ENTERPRISE,MEDICAL,VALLEY,ESTATE,LONDON,TRAVEL,STUDIO,EVENTS,NEWPORT,COMMERCIAL,SALES,ACADEMY,CAR,VALE,SPORTS,TRADERS,SUPPORT,VENTURES,HIRE,DRAGON,FOODS,PARK,PROJECT,ONLINE,CONSULT,BAR,AUTO,HAIR,STREET,PLANT,HOLDING,TECHNOLOGIES,CREATIVE,PRODUCTS,MOTORS,STORES,EDUCATION,FIRE,SOFTWARE,WORLD,LETTINGS,PLANNING,AESTHETICS,POWER,PROJECTS,FARM,CITY,FITNESS,SAFETY,ACCOUNTANCY,BUILDERS,TREE,AGENCY,RETAIL,GARDEN,INDUSTRIAL,WEALTH,STAR,KITCHEN,CELTIC,INTERIORS,RECRUITS,CYMRU,SCAFFOLDING,GAS,CORPORATION,FISH,PROMOTIONS,SOCIAL,RESTAURANT,ELITE,FAMILY,MOTOR,BRIDGEND,LIFE,WHITE,CLINIC,SMART,SCHOOL,HUB,COFFEE,CONTRACTING,LEGAL,LAW,LEISURE,NETWORK,COACHING,EXPRESS,STORAGE,AUTOMOTIVE,WEST,ASSET,GROUNDWORKS,AVIATION,CAFE,WINDOWS,INSTALLATIONS,RENTALS,REPAIRS,ACCOUNTING,MUSIC,FLOORING,CARS,FACILITIES,BUILD,ENVIRONMENTAL,CLOTHING,INNOVATIONS,ASSOCIATION,COMMUNICATIONS,TRUST,DESIGNS,CIVILS,STUDIOS,ENTERTAINMENT,VEHICLE,DENTAL,PRIVATE,SITE,PRINT,LAND,BLACK,TECHNICAL,ARTS,SPECIALISTS,GOLF,FILMS,INVEST,DATA,HAULAGE,LANDSCAPING,RESIDENTIAL,DISTRIBUTION,FURNITURE,WHOLESALE,SPECIALIST,GWENT,RECYCLING,FIRST,PARTNERS,VISION,WELSH,HILL,EUROPE,BOUTIQUE,ECOM,SOLUTION,GROOP,GOODS,PERFORMANCE,HOSPITALITY,ECO,FASHION,ART,PROFESSIONAL,RESIDENTS,WASTE,PHOENIX,PIZZA,CONTROL,MARINE,WELDING,MERTHYR,LIVING,GARAGE,CIVIL,STONE,INDUSTRIES,TYRES,REPAIR,PENARTH,BOX,PREMIER,BEST,HOTEL,GENERAL,RESEARCH,MECHANICAL,DOORS,PLASTERING,RESOURCES,ADVISORY,COSMETICS,ROSE,CASTLE,SOLAR,PRACTICE,IMPROVEMENTS,PRICE,TEAM,PHOTOGRAPHY,VIEW,WEB,PRODUCTION,HOUSING,ACCOUNTANTS,NURSERY,CLOUD,FILM,BARBER,BARBERS,ACCESS,PRIME,PET,INN,UNITED,TWO,MARKET,ONE,PROTECTION,FUTURE,GOLD,THERAPY,CYFYNGEDIG,EXECUTIVE,CAERPHILLY,PLACE,BESPOKE,BRICKWORK,RENOVATIONS,COUNTRY,RECOVERY,WORKS,HALL,GOLDEN,FOX,INTEREST,SUPPLY,GRILL,GLAMORGAN,MANUFACTURING,PEOPLE,WATER,MATERIALS,DREAM,GAMES,OLD,MORTGAGE,SKY,CONTRACTS,AUTOS,CONNECT,SALON,WOOD,STATION,FOOTBALL,SURVEYING,EAST,OFFICE,PLAY,LEARNING,APEX,FENCING,CHOICE,ATLANTIC,OAK,SPACE,LIGHTING,PRESTIGE,VILLAGE,COMMERCE,PUB,AGENTS,STEEL,FABRICATION,TIME,FOUNDATION,HAPPY,REMOVALS,NORTH,UTILITIES,MONMOUTH,EQUIPMENT,JOINERY,GLASS,WASH,ELECTRICS,MOBILE,HERITAGE,PRECISION,CWMBRAN,RUGBY,KITCHENS,LOUNGE,GARDENS,DELIVERY,SPICE,ELECTRONICS,MOT,NUTRITION,SOLUTIONS
4,512996,Blaenau Gwent,False,48.72516262929408,30.971763579212226,46.13653369005227,57.12883646391249,False,41100.0,33580.0,False,False,False,True,False,False,False,False,False,False,False,False,272382,CARROLL AND PRICHARD LIMITED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,3846006,Blaenau Gwent,False,49.116715155445334,31.00626184981037,46.36443033142223,56.7036904046552,False,69201.0,4001.0,True,False,False,False,False,False,False,False,False,False,False,False,8850057,TAXBAK BRISTOL LTD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,8673793,Blaenau Gwent,False,48.94083129188315,30.85611917899968,46.424739658447834,56.7680183407534,False,24200.0,1378.0,False,False,True,False,False,False,False,False,False,False,False,False,13288720,SPC PIPE WELDING SERVICES LTD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,9519359,Blaenau Gwent,False,48.83891121898699,31.03954044722331,46.13141413757901,57.06045847256653,False,59112.0,994.0,False,False,False,True,False,False,False,False,False,False,False,False,14042537,XAMPLD LTD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,9802420,Blaenau Gwent,False,48.95287424588871,31.120134680621582,46.11143055347323,57.00390647862245,False,71129.0,828.0,False,False,False,False,False,False,False,False,True,False,False,False,14374922,BRITTON DESIGN LIMITED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,10936679,Blaenau Gwent,False,48.89022483476475,31.007494769378148,46.20552044820654,56.97022252934678,False,59140.0,387.0,False,False,False,False,False,False,False,False,False,False,False,True,15341084,WONDER CINEMA LTD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,474226,Blaenau Gwent,False,48.52790108477553,30.687408844909918,46.34850799204707,57.09104075983986,False,41100.0,10022.0,False,False,False,False,False,False,False,True,False,False,False,False,3408994,C.M. 1997 LIMITED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2709257,Blaenau Gwent,False,48.52790108477553,30.687408844909918,46.34850799204707,57.09104075983986,True,69201.0,8883.0,False,False,True,False,False,False,False,False,False,False,False,False,4064851,THEO JONES & CO. LTD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,578641,Blaenau Gwent,False,48.31539723362461,30.573567071053365,46.34548710178586,57.23099867868831,False,59131.0,7685.0,False,False,False,False,False,False,False,False,False,False,False,True,4997669,CINELIGHT FILMS LIMITED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,564677,Blaenau Gwent,False,48.52790108477553,30.687408844909918,46.34850799204707,57.09104075983986,False,69201.0,7442.0,False,False,True,False,False,False,False,False,False,False,False,False,5207251,CHILD & CHILD ACCOUNTANTS LTD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
